===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
17,,17,2022-01-24 07:16:00,1834.275,1835.085,1834.27,1835.085,0.0,-1.0,MyStrategy,17,738179.3027777778,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2022-01-24 07:17:00,1835.085,1835.085,1834.625,1834.84,0.0,-1.0,MyStrategy,18,738179.3034722222,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2022-01-24 07:18:00,1834.84,1835.22,1834.835,1834.99,0.0,-1.0,MyStrategy,19,738179.3041666667,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2022-01-24 07:19:00,1834.99,1835.11,1834.72,1834.75,0.0,-1.0,MyStrategy,20,738179.3048611111,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2022-01-24 07:20:00,1834.75,1834.9,1834.62,1834.9,0.0,-1.0,MyStrategy,21,738179.3055555555,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2022-01-24 07:21:00,1834.9,1835.235,1834.89,1835.145,0.0,-1.0,MyStrategy,22,738179.30625,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2022-01-24 07:22:00,1835.145,1835.2,1835.015,1835.085,0.0,-1.0,MyStrategy,23,738179.3069444444,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2022-01-24 07:23:00,1835.085,1835.18,1835.085,1835.11,0.0,-1.0,MyStrategy,24,738179.307638889,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2022-01-24 07:24:00,1835.11,1835.11,1834.895,1834.895,0.0,-1.0,MyStrategy,25,738179.3083333333,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2022-01-24 07:25:00,1834.895,1835.18,1834.795,1835.095,0.0,-1.0,MyStrategy,26,738179.3090277778,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2022-01-24 07:26:00,1835.095,1835.725,1835.095,1835.645,0.0,-1.0,MyStrategy,27,738179.3097222223,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2022-01-24 07:27:00,1835.645,1836.085,1835.375,1835.5,0.0,-1.0,MyStrategy,28,738179.3104166667,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2022-01-24 07:28:00,1835.5,1835.5,1835.025,1835.235,0.0,-1.0,MyStrategy,29,738179.3111111111,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2022-01-24 07:29:00,1835.235,1836.255,1835.235,1836.175,0.0,-1.0,MyStrategy,30,738179.3118055556,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2022-01-24 07:30:00,1836.175,1837.19,1836.155,1836.965,0.0,-1.0,MyStrategy,31,738179.3125,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2022-01-24 07:31:00,1836.965,1836.965,1836.6,1836.9,0.0,-1.0,MyStrategy,32,738179.3131944444,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2022-01-24 07:32:00,1836.9,1836.945,1836.3,1836.34,0.0,-1.0,MyStrategy,33,738179.3138888889,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2022-01-24 07:33:00,1836.34,1836.74,1836.22,1836.74,0.0,-1.0,MyStrategy,34,738179.3145833333,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2022-01-24 07:34:00,1836.74,1836.79,1836.25,1836.3,0.0,-1.0,MyStrategy,35,738179.3152777777,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2022-01-24 07:35:00,1836.3,1836.32,1835.76,1835.96,0.0,-1.0,MyStrategy,36,738179.3159722222,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2022-01-24 07:36:00,1835.96,1836.07,1835.77,1836.01,0.0,-1.0,MyStrategy,37,738179.3166666667,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2022-01-24 07:37:00,1836.01,1836.29,1835.83,1836.27,0.0,-1.0,MyStrategy,38,738179.317361111,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2022-01-24 07:38:00,1836.27,1836.46,1836.16,1836.16,0.0,-1.0,MyStrategy,39,738179.3180555556,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2022-01-24 07:39:00,1836.16,1836.21,1836.06,1836.06,0.0,-1.0,MyStrategy,40,738179.31875,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2022-01-24 07:40:00,1836.06,1836.24,1835.765,1836.24,0.0,-1.0,MyStrategy,41,738179.3194444445,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2022-01-24 07:41:00,1836.24,1836.24,1835.76,1835.96,0.0,-1.0,MyStrategy,42,738179.3201388889,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2022-01-24 07:42:00,1835.96,1835.96,1835.59,1835.67,0.0,-1.0,MyStrategy,43,738179.3208333333,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2022-01-24 07:43:00,1835.67,1835.67,1835.43,1835.57,0.0,-1.0,MyStrategy,44,738179.3215277778,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2022-01-24 07:44:00,1835.57,1835.96,1835.53,1835.82,0.0,-1.0,MyStrategy,45,738179.3222222222,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2022-01-24 07:45:00,1835.82,1835.83,1835.53,1835.78,0.0,-1.0,MyStrategy,46,738179.3229166666,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2022-01-24 07:46:00,1835.78,1835.97,1835.58,1835.73,0.0,-1.0,MyStrategy,47,738179.3236111111,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2022-01-24 07:47:00,1835.73,1835.955,1835.68,1835.795,0.0,-1.0,MyStrategy,48,738179.3243055556,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2022-01-24 07:48:00,1835.795,1835.805,1835.635,1835.65,0.0,-1.0,MyStrategy,49,738179.325,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2022-01-24 07:49:00,1835.65,1835.65,1834.91,1835.11,0.0,-1.0,MyStrategy,50,738179.3256944445,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2022-01-24 07:50:00,1835.11,1835.2,1834.965,1834.99,0.0,-1.0,MyStrategy,51,738179.3263888889,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2022-01-24 07:51:00,1834.99,1834.99,1834.42,1834.5,0.0,-1.0,MyStrategy,52,738179.3270833333,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2022-01-24 07:52:00,1834.5,1834.65,1834.4,1834.46,0.0,-1.0,MyStrategy,53,738179.3277777778,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2022-01-24 07:53:00,1834.46,1834.73,1834.33,1834.37,0.0,-1.0,MyStrategy,54,738179.3284722222,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2022-01-24 07:54:00,1834.37,1834.63,1834.33,1834.56,0.0,-1.0,MyStrategy,55,738179.3291666667,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2022-01-24 07:55:00,1834.56,1834.73,1834.5,1834.61,0.0,-1.0,MyStrategy,56,738179.3298611111,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2022-01-24 07:56:00,1834.61,1834.89,1834.48,1834.515,0.0,-1.0,MyStrategy,57,738179.3305555555,Broker,57,10000.0,10000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2022-01-24 07:57:00,1834.515,1834.535,1834.28,1834.3,0.0,-1.0,MyStrategy,58,738179.33125,Broker,58,10000.0,10000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2022-01-24 07:58:00,1834.3,1834.68,1834.18,1834.66,0.0,-1.0,MyStrategy,59,738179.3319444444,Broker,59,10000.0,10000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2022-01-24 07:59:00,1834.66,1834.87,1834.49,1834.8,0.0,-1.0,MyStrategy,60,738179.3326388889,Broker,60,10000.0,10000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
