datetime,open,high,low,close,volume,openinterest
2022-01-24 7:00,1835.17,1835.595,1833.2,1833.43,-1,-1
2022-01-24 7:01,1833.43,1833.43,1832.425,1832.53,-1,-1
2022-01-24 7:02,1832.53,1832.56,1831.805,1832.005,-1,-1
2022-01-24 7:03,1832.005,1833.225,1832.005,1833.205,-1,-1
2022-01-24 7:04,1833.205,1833.335,1832.77,1833.045,-1,-1
2022-01-24 7:05,1833.045,1833.68,1832.98,1833.68,-1,-1
2022-01-24 7:06,1833.68,1834.065,1833.665,1833.965,-1,-1
2022-01-24 7:07,1833.965,1833.98,1833.735,1833.795,-1,-1
2022-01-24 7:08,1833.795,1833.9,1833.75,1833.89,-1,-1
2022-01-24 7:09,1833.89,1833.895,1833.62,1833.855,-1,-1
2022-01-24 7:10,1833.855,1834.32,1833.755,1834.145,-1,-1
2022-01-24 7:11,1834.145,1834.25,1833.875,1833.97,-1,-1
2022-01-24 7:12,1833.97,1834.005,1833.715,1833.815,-1,-1
2022-01-24 7:13,1833.815,1834.425,1833.815,1834,-1,-1
2022-01-24 7:14,1834,1834.38,1833.84,1834.34,-1,-1
2022-01-24 7:15,1834.34,1834.39,1834.025,1834.275,-1,-1
2022-01-24 7:16,1834.275,1835.085,1834.27,1835.085,-1,-1
2022-01-24 7:17,1835.085,1835.085,1834.625,1834.84,-1,-1
2022-01-24 7:18,1834.84,1835.22,1834.835,1834.99,-1,-1
2022-01-24 7:19,1834.99,1835.11,1834.72,1834.75,-1,-1
2022-01-24 7:20,1834.75,1834.9,1834.62,1834.9,-1,-1
2022-01-24 7:21,1834.9,1835.235,1834.89,1835.145,-1,-1
2022-01-24 7:22,1835.145,1835.2,1835.015,1835.085,-1,-1
2022-01-24 7:23,1835.085,1835.18,1835.085,1835.11,-1,-1
2022-01-24 7:24,1835.11,1835.11,1834.895,1834.895,-1,-1
2022-01-24 7:25,1834.895,1835.18,1834.795,1835.095,-1,-1
2022-01-24 7:26,1835.095,1835.725,1835.095,1835.645,-1,-1
2022-01-24 7:27,1835.645,1836.085,1835.375,1835.5,-1,-1
2022-01-24 7:28,1835.5,1835.5,1835.025,1835.235,-1,-1
2022-01-24 7:29,1835.235,1836.255,1835.235,1836.175,-1,-1
2022-01-24 7:30,1836.175,1837.19,1836.155,1836.965,-1,-1
2022-01-24 7:31,1836.965,1836.965,1836.6,1836.9,-1,-1
2022-01-24 7:32,1836.9,1836.945,1836.3,1836.34,-1,-1
2022-01-24 7:33,1836.34,1836.74,1836.22,1836.74,-1,-1
2022-01-24 7:34,1836.74,1836.79,1836.25,1836.3,-1,-1
2022-01-24 7:35,1836.3,1836.32,1835.76,1835.96,-1,-1
2022-01-24 7:36,1835.96,1836.07,1835.77,1836.01,-1,-1
2022-01-24 7:37,1836.01,1836.29,1835.83,1836.27,-1,-1
2022-01-24 7:38,1836.27,1836.46,1836.16,1836.16,-1,-1
2022-01-24 7:39,1836.16,1836.21,1836.06,1836.06,-1,-1
2022-01-24 7:40,1836.06,1836.24,1835.765,1836.24,-1,-1
2022-01-24 7:41,1836.24,1836.24,1835.76,1835.96,-1,-1
2022-01-24 7:42,1835.96,1835.96,1835.59,1835.67,-1,-1
2022-01-24 7:43,1835.67,1835.67,1835.43,1835.57,-1,-1
2022-01-24 7:44,1835.57,1835.96,1835.53,1835.82,-1,-1
