,open,high,low,close,volume
2022-12-12 07:00:00,1800.775,1802.815,1795.525,1796.81,-1
2022-12-12 07:01:00,1796.81,1797.085,1796.725,1796.88,-1
2022-12-12 07:02:00,1796.88,1797.12,1796.595,1796.63,-1
2022-12-12 07:03:00,1796.63,1796.78,1796.525,1796.63,-1
2022-12-12 07:04:00,1796.63,1796.63,1796.115,1796.16,-1
2022-12-12 07:05:00,1796.16,1796.305,1795.84,1796.195,-1
2022-12-12 07:06:00,1796.195,1796.465,1796.015,1796.45,-1
2022-12-12 07:07:00,1796.45,1796.68,1796.275,1796.37,-1
2022-12-12 07:08:00,1796.37,1796.37,1796.185,1796.185,-1
2022-12-12 07:09:00,1796.185,1796.34,1796.165,1796.175,-1
2022-12-12 07:10:00,1796.175,1796.175,1795.935,1795.985,-1
2022-12-12 07:11:00,1795.985,1796.56,1795.93,1796.55,-1
2022-12-12 07:12:00,1796.55,1796.665,1796.455,1796.65,-1
2022-12-12 07:13:00,1796.65,1796.815,1796.21,1796.355,-1
2022-12-12 07:14:00,1796.355,1796.47,1796.305,1796.31,-1
2022-12-12 07:15:00,1796.31,1796.755,1796.305,1796.45,-1
2022-12-12 07:16:00,1796.45,1796.585,1796.28,1796.485,-1
2022-12-12 07:17:00,1796.485,1796.585,1796.375,1796.475,-1
2022-12-12 07:18:00,1796.475,1796.475,1796.31,1796.4,-1
2022-12-12 07:19:00,1796.4,1796.4,1796.125,1796.295,-1
2022-12-12 07:20:00,1796.295,1796.41,1796.16,1796.39,-1
2022-12-12 07:21:00,1796.39,1796.39,1796.08,1796.185,-1
2022-12-12 07:22:00,1796.185,1796.435,1796.075,1796.435,-1
2022-12-12 07:23:00,1796.435,1796.5,1796.275,1796.485,-1
2022-12-12 07:24:00,1796.485,1796.6,1796.425,1796.48,-1
2022-12-12 07:25:00,1796.48,1796.585,1796.375,1796.485,-1
2022-12-12 07:26:00,1796.485,1796.49,1796.305,1796.305,-1
2022-12-12 07:27:00,1796.305,1796.42,1796.205,1796.42,-1
2022-12-12 07:28:00,1796.42,1796.42,1795.98,1796.035,-1
2022-12-12 07:29:00,1796.035,1796.33,1795.845,1796.23,-1
2022-12-12 07:30:00,1796.23,1796.4,1796.01,1796.15,-1
2022-12-12 07:31:00,1796.15,1796.345,1795.985,1796.245,-1
2022-12-12 07:32:00,1796.245,1796.26,1796.1,1796.14,-1
2022-12-12 07:33:00,1796.14,1796.265,1796.025,1796.025,-1
2022-12-12 07:34:00,1796.025,1796.025,1795.76,1795.94,-1
2022-12-12 07:35:00,1795.94,1795.955,1795.58,1795.68,-1
2022-12-12 07:36:00,1795.68,1795.77,1795.58,1795.755,-1
2022-12-12 07:37:00,1795.755,1796.03,1795.67,1795.97,-1
2022-12-12 07:38:00,1795.97,1796.105,1795.765,1795.825,-1
2022-12-12 07:39:00,1795.825,1796.195,1795.76,1796.18,-1
2022-12-12 07:40:00,1796.18,1796.245,1796.01,1796.245,-1
2022-12-12 07:41:00,1796.245,1796.245,1795.955,1795.975,-1
2022-12-12 07:42:00,1795.975,1796.13,1795.955,1795.955,-1
2022-12-12 07:43:00,1795.955,1796.035,1795.89,1795.95,-1
2022-12-12 07:44:00,1795.95,1795.975,1795.83,1795.95,-1
2022-12-12 07:45:00,1795.95,1796.015,1795.59,1795.595,-1
2022-12-12 07:46:00,1795.595,1795.595,1795.18,1795.27,-1
2022-12-12 07:47:00,1795.27,1795.67,1794.995,1795.64,-1
2022-12-12 07:48:00,1795.64,1795.72,1795.425,1795.52,-1
2022-12-12 07:49:00,1795.52,1795.875,1795.49,1795.82,-1
2022-12-12 07:50:00,1795.82,1795.825,1795.58,1795.58,-1
2022-12-12 07:51:00,1795.58,1795.605,1795.39,1795.39,-1
2022-12-12 07:52:00,1795.39,1795.4,1795.09,1795.12,-1
2022-12-12 07:53:00,1795.12,1795.26,1795.09,1795.16,-1
2022-12-12 07:54:00,1795.16,1795.225,1795.065,1795.135,-1
2022-12-12 07:55:00,1795.135,1795.365,1795.135,1795.26,-1
2022-12-12 07:56:00,1795.26,1795.265,1794.97,1795.13,-1
2022-12-12 07:57:00,1795.13,1795.31,1795.06,1795.265,-1
2022-12-12 07:58:00,1795.265,1795.265,1794.865,1794.92,-1
2022-12-12 07:59:00,1794.92,1795.105,1794.865,1795.05,-1
2022-12-12 08:00:00,1795.05,1795.09,1794.36,1794.55,-1
2022-12-12 08:01:00,1794.55,1794.61,1794.41,1794.455,-1
2022-12-12 08:02:00,1794.455,1794.555,1794.265,1794.545,-1
2022-12-12 08:03:00,1794.545,1794.57,1794.235,1794.32,-1
2022-12-12 08:04:00,1794.32,1794.37,1794.225,1794.29,-1
2022-12-12 08:05:00,1794.29,1794.29,1793.715,1793.72,-1
2022-12-12 08:06:00,1793.72,1794.015,1793.695,1793.825,-1
2022-12-12 08:07:00,1793.825,1793.855,1793.505,1793.56,-1
2022-12-12 08:08:00,1793.56,1793.665,1793.375,1793.575,-1
2022-12-12 08:09:00,1793.575,1794.035,1793.57,1793.945,-1
2022-12-12 08:10:00,1793.945,1794.175,1793.81,1794.175,-1
2022-12-12 08:11:00,1794.175,1794.285,1793.955,1794.08,-1
2022-12-12 08:12:00,1794.08,1794.135,1793.985,1794.02,-1
2022-12-12 08:13:00,1794.02,1794.09,1793.75,1793.76,-1
2022-12-12 08:14:00,1793.76,1793.955,1793.465,1793.555,-1
2022-12-12 08:15:00,1793.555,1793.835,1793.485,1793.52,-1
2022-12-12 08:16:00,1793.52,1793.85,1793.515,1793.785,-1
2022-12-12 08:17:00,1793.785,1794.185,1793.78,1794.18,-1
2022-12-12 08:18:00,1794.18,1794.42,1794.085,1794.355,-1
2022-12-12 08:19:00,1794.355,1794.505,1794.25,1794.285,-1
2022-12-12 08:20:00,1794.285,1794.46,1794.235,1794.255,-1
2022-12-12 08:21:00,1794.255,1794.26,1793.925,1793.925,-1
2022-12-12 08:22:00,1793.925,1794.02,1793.805,1793.805,-1
2022-12-12 08:23:00,1793.805,1793.835,1793.59,1793.755,-1
2022-12-12 08:24:00,1793.755,1794.05,1793.735,1794.03,-1
2022-12-12 08:25:00,1794.03,1794.12,1793.93,1794.03,-1
2022-12-12 08:26:00,1794.03,1794.03,1793.76,1793.76,-1
2022-12-12 08:27:00,1793.76,1793.84,1793.55,1793.55,-1
2022-12-12 08:28:00,1793.55,1793.855,1793.55,1793.845,-1
2022-12-12 08:29:00,1793.845,1793.87,1793.685,1793.69,-1
2022-12-12 08:30:00,1793.69,1793.785,1793.56,1793.59,-1
2022-12-12 08:31:00,1793.59,1793.87,1793.52,1793.83,-1
2022-12-12 08:32:00,1793.83,1794.08,1793.83,1794.08,-1
2022-12-12 08:33:00,1794.08,1794.355,1794.08,1794.345,-1
2022-12-12 08:34:00,1794.345,1794.485,1794.24,1794.29,-1
2022-12-12 08:35:00,1794.29,1794.375,1794.18,1794.225,-1
2022-12-12 08:36:00,1794.225,1794.23,1793.32,1793.32,-1
2022-12-12 08:37:00,1793.32,1793.57,1793.085,1793.085,-1
2022-12-12 08:38:00,1793.085,1793.085,1792.71,1792.985,-1
2022-12-12 08:39:00,1792.985,1793.0,1792.66,1792.75,-1
2022-12-12 08:40:00,1792.75,1793.275,1792.695,1793.16,-1
2022-12-12 08:41:00,1793.16,1793.34,1793.1,1793.2,-1
2022-12-12 08:42:00,1793.2,1793.3,1792.96,1793.085,-1
2022-12-12 08:43:00,1793.085,1793.285,1793.005,1793.065,-1
2022-12-12 08:44:00,1793.065,1793.18,1792.965,1793.16,-1
2022-12-12 08:45:00,1793.16,1793.19,1792.905,1792.915,-1
2022-12-12 08:46:00,1792.915,1793.315,1792.915,1793.315,-1
2022-12-12 08:47:00,1793.315,1793.325,1792.89,1793.01,-1
2022-12-12 08:48:00,1793.01,1793.23,1792.805,1793.23,-1
2022-12-12 08:49:00,1793.23,1793.27,1792.93,1793.035,-1
2022-12-12 08:50:00,1793.035,1793.035,1792.79,1792.99,-1
2022-12-12 08:51:00,1792.99,1793.32,1792.925,1793.22,-1
2022-12-12 08:52:00,1793.22,1793.73,1793.215,1793.725,-1
2022-12-12 08:53:00,1793.725,1793.845,1793.465,1793.49,-1
2022-12-12 08:54:00,1793.49,1793.49,1793.265,1793.4,-1
2022-12-12 08:55:00,1793.4,1793.445,1793.125,1793.29,-1
2022-12-12 08:56:00,1793.29,1793.48,1793.16,1793.235,-1
2022-12-12 08:57:00,1793.235,1793.615,1793.23,1793.52,-1
2022-12-12 08:58:00,1793.52,1793.865,1793.38,1793.775,-1
2022-12-12 08:59:00,1793.775,1793.99,1793.7,1793.71,-1
2022-12-12 09:00:00,1793.71,1794.125,1792.715,1792.9,-1
2022-12-12 09:01:00,1792.9,1792.905,1792.44,1792.69,-1
2022-12-12 09:02:00,1792.69,1792.845,1792.51,1792.535,-1
2022-12-12 09:03:00,1792.535,1792.61,1792.13,1792.325,-1
2022-12-12 09:04:00,1792.325,1792.97,1792.285,1792.55,-1
2022-12-12 09:05:00,1792.55,1792.645,1792.2,1792.22,-1
2022-12-12 09:06:00,1792.22,1792.265,1791.62,1791.62,-1
2022-12-12 09:07:00,1791.62,1791.735,1791.31,1791.685,-1
2022-12-12 09:08:00,1791.685,1791.715,1791.32,1791.62,-1
2022-12-12 09:09:00,1791.62,1791.64,1791.13,1791.195,-1
2022-12-12 09:10:00,1791.195,1791.42,1791.06,1791.39,-1
2022-12-12 09:11:00,1791.39,1791.52,1791.095,1791.14,-1
2022-12-12 09:12:00,1791.14,1791.485,1791.005,1791.405,-1
2022-12-12 09:13:00,1791.405,1791.475,1791.085,1791.205,-1
2022-12-12 09:14:00,1791.205,1791.6,1791.185,1791.375,-1
2022-12-12 09:15:00,1791.375,1791.695,1791.325,1791.39,-1
2022-12-12 09:16:00,1791.39,1791.595,1791.22,1791.585,-1
2022-12-12 09:17:00,1791.585,1791.9,1791.585,1791.755,-1
2022-12-12 09:18:00,1791.755,1791.955,1791.67,1791.955,-1
2022-12-12 09:19:00,1791.955,1792.2,1791.88,1791.9,-1
2022-12-12 09:20:00,1791.9,1792.165,1791.62,1792.165,-1
2022-12-12 09:21:00,1792.165,1792.885,1792.165,1792.585,-1
2022-12-12 09:22:00,1792.585,1792.885,1792.505,1792.875,-1
2022-12-12 09:23:00,1792.875,1792.885,1792.45,1792.495,-1
2022-12-12 09:24:00,1792.495,1792.495,1792.175,1792.28,-1
2022-12-12 09:25:00,1792.28,1792.57,1792.27,1792.57,-1
2022-12-12 09:26:00,1792.57,1792.58,1792.225,1792.265,-1
2022-12-12 09:27:00,1792.265,1792.375,1792.15,1792.24,-1
2022-12-12 09:28:00,1792.24,1792.755,1792.23,1792.73,-1
2022-12-12 09:29:00,1792.73,1792.84,1792.345,1792.345,-1
2022-12-12 09:30:00,1792.345,1792.54,1791.955,1792.54,-1
2022-12-12 09:31:00,1792.54,1793.045,1792.475,1792.745,-1
2022-12-12 09:32:00,1792.745,1792.835,1792.625,1792.67,-1
2022-12-12 09:33:00,1792.67,1792.67,1792.345,1792.46,-1
2022-12-12 09:34:00,1792.46,1792.67,1792.26,1792.67,-1
2022-12-12 09:35:00,1792.67,1792.805,1792.415,1792.57,-1
2022-12-12 09:36:00,1792.57,1792.755,1792.15,1792.2,-1
2022-12-12 09:37:00,1792.2,1792.26,1791.89,1792.245,-1
2022-12-12 09:38:00,1792.245,1792.705,1792.155,1792.525,-1
2022-12-12 09:39:00,1792.525,1792.655,1792.38,1792.44,-1
2022-12-12 09:40:00,1792.44,1792.74,1792.275,1792.31,-1
2022-12-12 09:41:00,1792.31,1792.51,1792.05,1792.06,-1
2022-12-12 09:42:00,1792.06,1792.255,1791.92,1791.945,-1
2022-12-12 09:43:00,1791.945,1791.945,1791.32,1791.525,-1
2022-12-12 09:44:00,1791.525,1791.6,1791.275,1791.39,-1
2022-12-12 09:45:00,1791.39,1791.39,1791.08,1791.08,-1
2022-12-12 09:46:00,1791.08,1791.585,1791.015,1791.41,-1
2022-12-12 09:47:00,1791.41,1791.67,1791.385,1791.575,-1
2022-12-12 09:48:00,1791.575,1791.62,1790.835,1790.99,-1
2022-12-12 09:49:00,1790.99,1791.015,1790.41,1790.435,-1
2022-12-12 09:50:00,1790.435,1790.675,1790.36,1790.51,-1
2022-12-12 09:51:00,1790.51,1790.715,1790.38,1790.59,-1
2022-12-12 09:52:00,1790.59,1790.59,1790.005,1790.395,-1
2022-12-12 09:53:00,1790.395,1790.675,1790.335,1790.44,-1
2022-12-12 09:54:00,1790.44,1790.65,1790.21,1790.37,-1
2022-12-12 09:55:00,1790.37,1790.405,1790.055,1790.165,-1
2022-12-12 09:56:00,1790.165,1790.64,1790.155,1790.635,-1
2022-12-12 09:57:00,1790.635,1790.75,1790.46,1790.555,-1
2022-12-12 09:58:00,1790.555,1791.115,1790.545,1791.08,-1
2022-12-12 09:59:00,1791.08,1791.09,1790.845,1790.895,-1
2022-12-12 10:00:00,1790.895,1790.9,1790.41,1790.415,-1
2022-12-12 10:01:00,1790.415,1790.545,1790.11,1790.32,-1
2022-12-12 10:02:00,1790.32,1790.32,1790.04,1790.165,-1
2022-12-12 10:03:00,1790.165,1790.395,1789.82,1790.395,-1
2022-12-12 10:04:00,1790.395,1790.755,1790.345,1790.725,-1
2022-12-12 10:05:00,1790.725,1790.895,1790.555,1790.77,-1
2022-12-12 10:06:00,1790.77,1790.905,1790.64,1790.78,-1
2022-12-12 10:07:00,1790.78,1790.78,1790.165,1790.175,-1
2022-12-12 10:08:00,1790.175,1790.545,1790.06,1790.315,-1
2022-12-12 10:09:00,1790.315,1790.605,1790.255,1790.52,-1
2022-12-12 10:10:00,1790.52,1790.535,1790.105,1790.22,-1
2022-12-12 10:11:00,1790.22,1790.635,1790.2,1790.615,-1
2022-12-12 10:12:00,1790.615,1790.9,1790.615,1790.785,-1
2022-12-12 10:13:00,1790.785,1790.81,1790.445,1790.54,-1
2022-12-12 10:14:00,1790.54,1790.56,1789.9,1789.94,-1
2022-12-12 10:15:00,1789.94,1790.085,1789.68,1789.91,-1
2022-12-12 10:16:00,1789.91,1789.95,1789.295,1789.315,-1
2022-12-12 10:17:00,1789.315,1789.315,1787.605,1788.765,-1
2022-12-12 10:18:00,1788.765,1788.89,1788.43,1788.735,-1
2022-12-12 10:19:00,1788.735,1788.8,1788.57,1788.73,-1
2022-12-12 10:20:00,1788.73,1788.73,1788.045,1788.24,-1
2022-12-12 10:21:00,1788.24,1788.57,1788.175,1788.33,-1
2022-12-12 10:22:00,1788.33,1788.53,1788.32,1788.33,-1
2022-12-12 10:23:00,1788.33,1788.395,1787.735,1787.79,-1
2022-12-12 10:24:00,1787.79,1787.95,1787.74,1787.86,-1
2022-12-12 10:25:00,1787.86,1788.025,1787.815,1787.915,-1
2022-12-12 10:26:00,1787.915,1788.075,1787.915,1788.075,-1
2022-12-12 10:27:00,1788.075,1788.335,1787.685,1787.855,-1
2022-12-12 10:28:00,1787.855,1787.93,1787.615,1787.725,-1
2022-12-12 10:29:00,1787.725,1787.765,1787.38,1787.625,-1
2022-12-12 10:30:00,1787.625,1788.3,1787.625,1788.205,-1
2022-12-12 10:31:00,1788.205,1788.48,1788.025,1788.155,-1
2022-12-12 10:32:00,1788.155,1788.205,1787.92,1787.98,-1
